code,day,icon,,
1000,Sunny,113,Sunburny,sunny.png
1003,Partly cloudy,116,Too bright,cloudy.png
1006,Cloudy,119,Too dim,verycloudy.png
1009,Overcast,122,Dreary,verycloudy.png
1030,Mist,143,Otherworldly,verycloudy.png
1063,Patchy rain possible,176,Wet and dreary,rainy.png
1066,Patchy snow possible,179,Cold and wet,snowy.png
1069,Patchy sleet possible,182,Dangerously Icy,snowy.png
1072,Patchy freezing drizzle possible,185,Dangerously Icy,snowy.png
1087,Thundery outbreaks possible,200,Shockingly bad,lightning.png
1114,Blowing snow,227,Blizzardly,snowy.png
1117,Blizzard,230,Blizzardly,snowy.png
1135,Fog,248,Otherworldly,verycloudy.png
1147,Freezing fog,260,Cold and dreary,verycloudy.png
1150,Patchy light drizzle,263,Wet and dreary,rainy.png
1153,Light drizzle,266,Soggy,rainy.png
1168,Freezing drizzle,281,Cold and wet,rainy.png
1171,Heavy freezing drizzle,284,Cold and wet,rainy.png
1180,Patchy light rain,293,Soggy,rainy.png
1183,Light rain,296,Soggy,rainy.png
1186,Moderate rain at times,299,Very soggy,rainy.png
1189,Moderate rain,302,Wet and dreary,rainy.png
1192,Heavy rain at times,305,Very soggy,rainy.png
1195,Heavy rain,308,Wet and dreary,rainy.png
1198,Light freezing rain,311,Cold and wet,rainy.png
1201,Moderate or heavy freezing rain,314,Cold and wet,rainy.png
1204,Light sleet,317,Cold and slippery,rainy.png
1207,Moderate or heavy sleet,320,Cold and slippery,rainy.png
1210,Patchy light snow,323,Cold and slippery,snowy.png
1213,Light snow,326,Cold and slippery,snowy.png
1216,Patchy moderate snow,329,Cancel school weather,snowy.png
1219,Moderate snow,332,Cancel school weather,snowy.png
1222,Patchy heavy snow,335,Cancel school weather,snowy.png
1225,Heavy snow,338,Cancel school weather,snowy.png
1237,Ice pellets,350,Cold and slippery,rainy.png
1240,Light rain shower,353,On and off sogginess,rainy.png
1243,Moderate or heavy rain shower,356,Wet and dreary,rainy.png
1246,Torrential rain shower,359,Torrential,rainy.png
1249,Light sleet showers,362,Cold and slippery,rainy.png
1252,Moderate or heavy sleet showers,365,Dangerously slippery,rainy.png
1255,Light snow showers,368,Cold and slippery,snowy.png
1258,Moderate or heavy snow showers,371,Cancel school weather,snowy.png
1261,Light showers of ice pellets,374,Cold and slippery,rainy.png
1264,Moderate or heavy showers of ice pellets,377,Dangerously Icy,rainy.png
1273,Patchy light rain with thunder,386,Shockingly bad,lightning.png
1276,Moderate or heavy rain with thunder,389,Shockingly bad,lightning.png
1279,Patchy light snow with thunder,392,Cancel school weather,lightning.png
1282,Moderate or heavy snow with thunder,395,Cold and thundery,lightning.png
